Stops,Latitude,Longitude
Kabuga Bus Park1,S1.97922,E30.22352
Masaka Hospital,S1.98699,E30.21955
Masaka Bus Terminal,S1.99804,E30.19164
Masaka Rd_2,S1.99587,E30.19155
Masaka Health Centre,S1.99302,E30.19111
Masaka Rd_1,S1.99001,E30.19285
At 19_Inyange1,S1.98532,E30.19108
KK 3 Rd_15,S1.97920,E30.18248
Kibaya_Minagri,S1.97749,E30.18150
Bus Route 107_3,S1.97365,E30.17860
Mulindi1,S1.97129,E30.17572
KK 3 Rd_11,S1.96891,E30.16975
At 15 Ndera1,S1.96715,E30.16319
SEZ B2,S1.95801,E30.15010
Kigali Parents School2,S1.95409,E30.13899
La Parisse1,S1.95748,E30.13211
Ku Cyamutzig,S1.96272,E30.12460
Prince House2,S1.96011,E30.11533
Alpha Palace Hotel,S1.96120,E30.11216
Good Year2,S1.96281,E30.10898
Sonatubes4,S1.96820,E30.10170
Bralirwa3,S1.96891,E30.09799
Amasezerano,S1.96807,E30.09426
Rwandex3,S1.96918,E30.08676
Kwa Mironko2,S1.96752,E30.08285
KN 3 Rd_6,S1.96489,E30.08039
Volta Super1,S1.96249,E30.07761
Ku Mazi1,S1.95730,E30.07608
Chez Rasta,S1.95026,E30.07484
One Love,S1.94667,E30.07381
Forex Form_Poids Lourd,S1.94101,E30.06934
Kigali Gaz_Kinamba,S1.93686,E30.06433
Kinamba Bridge,S1.93549,E30.06045
Handicap HQs,S1.93596,E30.05346
Ku Magare,S1.93841,E30.04907
Nyabugogo Bus Park,S1.94073,E30.04475